time;bias-band1;bias-band2
150145.679;0;0
150146.679;-78.5021156658;0
150147.679;-78.0961147259;0
150148.679;-78.2506555563;0
150149.679;-78.774764463;0
150150.679;-79.0752588824;0
150151.679;-79.1760440822;0
150152.679;-78.9418422794;0
150153.679;-78.5994803585;0
150154.679;-78.8157390674;0
150155.679;-78.6833595067;0
150156.679;-78.421139957;0
150157.679;-78.3985145006;0
150158.679;-78.1731027787;0
150159.679;-78.5004376736;0
150160.679;-78.4345343533;0
150161.679;-78.1407962361;0
150162.679;-78.2272496455;0
150163.679;-78.2102629062;0
150164.679;-78.7456805854;0
150165.679;-79.0535328168;0
150166.679;-78.7471879783;0
150167.679;-78.2425881781;0
150168.679;-77.5381461223;0
150169.679;-78.1117068741;0
150170.679;-78.2051457184;0
150171.679;-78.1081718895;0
150172.679;-78.1641684212;0
150173.679;-78.4318145775;0
150174.679;-78.5852066612;0
150175.679;-78.1744472027;0
150176.679;-78.3256109968;0
150177.679;-78.7811417444;0
150178.679;-78.70084534;0
150179.679;-78.5427920198;0
150180.679;-78.5220854402;0
150181.679;-78.1332591739;0
150182.679;-78.13572654;0
150183.679;-78.510303066;0
150184.679;-78.6432566671;0
150185.679;-78.805315725;0
150186.679;-78.7104753991;0
150187.679;-78.4623683686;0
150188.679;-78.3096454427;0
150189.679;-78.7816002314;0
150190.679;-78.5192082627;0
150191.679;-78.7948866363;0
150192.679;-78.8804960142;0
150193.679;-78.7502875423;0
150194.679;-78.5742165415;0
150195.679;-79.1901772229;0
150196.679;-78.9200362881;0
150197.679;-78.682481978;0
150198.679;-78.6334109591;0
150199.679;-78.8288290325;0
150200.679;-78.3653959258;0
150201.679;-78.2743838886;0
150202.679;-78.5840968534;0
150203.679;-78.7466923043;0
150204.679;-78.5287572548;0
150205.679;-78.8811411103;0
150206.679;-78.742042635;0
150207.679;-78.7757834558;0
150208.679;-78.5491270328;0
150209.679;-78.7551147879;0
150210.679;-78.4956209576;0
150211.679;-78.6505033984;0
150212.679;-78.3363353193;0
150213.679;-78.3900435624;0
150214.679;-78.808001601;0
150215.679;-78.7445446129;0
150216.679;-78.7012625488;0
150217.679;-78.4259246596;0
150218.679;-79.2534306877;0
150219.679;-79.3856940093;0
150220.679;-78.474303129;0
150221.679;-79.1713737404;0
150222.679;-79.126207427;0
150223.679;-78.6250393304;0
150224.679;-78.7228573251;0
150225.679;-79.5758538132;0
150226.679;-78.7046041792;0
150227.679;-78.4808259383;0
150228.679;-78.358964951;0
150229.679;-78.6560909246;0
150230.679;-78.9408246742;0
150231.679;-78.7812415923;0
150232.679;-79.5839016664;0
150233.679;-79.2505042482;0
150234.679;-78.5623555189;0
150235.679;-78.6521581378;0
150236.679;-78.7081625821;0
150237.679;-78.6049660026;0
150238.679;-78.3185506184;0
150239.679;-78.5653324631;0
150240.679;-78.8511827246;0
150241.679;-79.2637117487;0
150242.679;-78.7423282582;0
150243.679;-78.5728132603;0
150244.679;-78.620789507;0
150245.679;-78.6827929882;0
150246.679;-78.5696396011;0
150247.679;-78.628057665;0
150248.679;-78.9046249714;0
150249.679;-79.2075583511;0
150250.679;-78.9219624804;0
150251.679;-78.9387778073;0
150252.679;-78.8322447216;0
150253.679;-78.8764441133;0
150254.679;-79.0121687306;0
150255.679;-78.7969536099;0
150256.679;-78.8779766576;0
150257.679;-78.6885360803;0
150258.679;-79.192422332;0
150259.679;-79.3919855347;0
150260.679;-79.5769212251;0
150261.679;-79.287263307;0
150262.679;-78.6519263453;0
150263.679;-78.1093846157;0
150264.679;-79.0007739115;0
150265.679;-78.7922006321;0
150266.679;-78.577148861;0
150267.679;-78.846193462;0
150268.679;-78.8291012466;0
150269.679;-79.0167797892;0
150270.679;-79.0674327966;0
150271.679;-78.7307367139;0
150272.679;-78.5128443273;0
150273.679;-78.3626882053;0
150274.679;-78.7682051079;0
150275.679;-78.8925183812;0
150276.679;-78.4146271358;0
150277.679;-78.7677817028;0
150278.679;-78.8442670519;0
150279.679;-78.7834039928;0
150280.679;-78.9211243663;0
150281.679;-79.0461646715;0
150282.679;-78.8095655254;0
150283.679;-79.1875864521;0
150284.679;-78.4064137436;0
150285.679;-78.9999127621;0
150286.679;-79.3369645678;0
150287.679;-79.4181523362;0
150288.679;-78.9349012554;0
150289.679;-78.7628528163;0
150290.679;-78.4521693995;0
150291.679;-78.7658435225;0
150292.679;-79.2481571094;0
150293.679;-79.1910933067;0
150294.679;-79.1730962395;0
150295.679;-79.4738136424;0
150296.679;-79.1486007319;0
150297.679;-79.1260794997;0
150298.679;-79.9079777437;0
150299.679;-79.2699278034;0
150300.679;-78.3324547407;0
150301.679;-78.4294874965;0
150302.679;-78.7274122793;0
150303.679;-78.8469256046;0
150304.679;-78.593121895;0
150305.679;-79.0326315212;0
150306.679;-78.9250061693;0
150307.679;-79.1259765638;0
150308.679;-79.0089292633;0
150309.679;-79.0029011529;0
150310.679;-79.0359847408;0
150311.679;-78.7985344968;0
150312.679;-78.8739417569;0
150313.679;-78.6944630984;0
150314.679;-78.8314250226;0
150315.679;-78.7691716066;0
150316.679;-79.1311022417;0
150317.679;-78.9106769145;0
150318.679;-78.8006445001;0
150319.679;-78.8673669188;0
150320.679;-79.5144181578;0
150321.679;-79.3818369764;0
150322.679;-79.1565576266;0
150323.679;-78.2791666644;0
150324.679;-78.6576897504;0
150325.679;-78.9554496565;0
150326.679;-78.9828875386;0
150327.679;-78.7384260938;0
150328.679;-79.0397125702;0
150329.679;-79.1709221081;0
150330.679;-78.8392661996;0
150331.679;-79.040808962;0
150332.679;-78.8120512291;0
150333.679;-79.5554526337;0
150334.679;-79.3394124665;0
150335.679;-79.1265046894;0
150336.679;-78.9998360679;0
150337.679;-79.1012118705;0
150338.679;-79.0543290461;0
150339.679;-79.3133044238;0
150340.679;-79.4652143874;0
150341.679;-79.6567972022;0
150342.679;-79.6070662097;0
150343.679;-79.1217975007;0
150344.679;-79.2901240118;0
150345.679;-79.0901237768;0
150346.679;-78.9441360192;0
150347.679;-79.3109844061;0
150348.679;-78.8360454201;0
150349.679;-78.9925236121;0
150350.679;-78.9611306119;0
150351.679;-79.4060255596;0
150352.679;-79.6501406675;0
